NAICS_Code,BEA_Sector_Code,BEA_Sector_Name,Spending_USD,Pct_of_Total,GHG_kg_CO2e,Energy_MJ,Water_gallons,Land_m2_year,GHG_Intensity_kg_per_1000USD,Energy_Intensity_MJ_per_1000USD
336411,336411,Aircraft Manufacturing,43405995587.44,9.835754268176705,6302550559.296288,123707087424.204,138899185879.80798,542574944.8429999,145.2,2850.0
336414,336414,Guided Missile Manufacturing,25032303640.17,5.672294438566946,3324289923.414576,66335604646.45049,72593680556.493,270348879.313836,132.8,2650.0
336611,336611,Ship Building,22873781109.11,5.183175437597129,3575171987.3538933,70908721438.241,102932014990.99501,347681472.858472,156.3,3099.9999999999995
541512,541512,Computer Systems Design,12185894166.18,2.761311172211348,470375514.814548,9992433216.2676,8773843799.6496,34120503.665304,38.6,820.0
324110,324110,Petroleum Refineries,11679017813.77,2.646453508444338,3336695389.3940887,67738303319.866,24525937408.917,99271651.417045,285.7,5800.0
336992,336992,Armored Vehicle Manufacturing,6565064391.16,1.4876368859257678,909261418.17566,18053927075.69,20351699612.596,74185227.62010801,138.5,2749.9999999999995
237990,237990,Heavy Construction,3501560631.13,0.793450062757739,344553566.10319203,6828043230.7035,18208115281.876,148816326.82302502,98.4,1949.9999999999998
221122,221100,Electric Power,618215837.37,0.14008707734435438,316711973.48465097,6491266292.385,11436992991.345,3214722.3543240004,512.3,10500.0
221112,221100,Electric Power,169989589.52,0.038519467369405314,87085666.711096,1784890689.96,3144807406.1200004,883945.8655040001,512.3,10500.0
221118,221100,Electric Power,48083609.14,0.010895696721789866,24633232.962422,504877895.96999997,889546769.0899999,250034.767528,512.3,10500.0
221121,221100,Electric Power,23744467.41,0.005380472064118923,12164290.654142998,249316907.80499998,439272647.085,123471.230532,512.3,10500.0
221114,221100,Electric Power,10767174.91,0.0024398308377444958,5516023.706393,113055336.55499999,199192735.83499998,55989.309532,512.3,10500.0
221111,221100,Electric Power,331912.97,7.521114000862494e-05,170039.01453099996,3485086.1849999996,6140389.944999999,1725.947444,512.3,10500.0
221115,221100,Electric Power,212790.0,4.821799667073963e-05,109012.317,2234294.9999999995,3936614.9999999995,1106.508,512.3,10500.0
